,Unnamed: 0.1,Unnamed: 0,copies,f1,f1_fid,score_p,score_n,score_fidp,score_fidn
0,0,0,1.0,0.81111115,0.79333335,0.33207208,-0.30553913,0.13177383,-0.1512306
1,1,1,2.0,0.81111115,0.79333335,0.39939615,-0.383531,0.21371262,-0.2455363
2,2,2,3.0,0.81111115,0.79333335,0.4226984,-0.42010242,0.26465192,-0.30422434
3,3,3,4.0,0.81111115,0.79333335,0.42767462,-0.43685865,0.29598245,-0.34026223
4,4,4,5.0,0.81111115,0.81111115,0.4240292,-0.4426477,0.31470293,-0.36167365
5,5,5,6.0,0.81111115,0.81111115,0.41619706,-0.441993,0.3251857,-0.37350792
6,6,6,7.0,0.81111115,0.81111115,0.40638465,-0.4374593,0.33020952,-0.37899706
7,7,7,8.0,0.81111115,0.81111115,0.395739,-0.43058762,0.33157185,-0.3802449
8,8,8,9.0,0.81111115,0.81111115,0.38486937,-0.4223376,0.33045584,-0.37864313
9,9,9,10.0,0.81111115,0.81111115,0.37410074,-0.41332072,0.32765394,-0.3751265
10,10,10,11.0,0.81111115,0.81111115,0.3636034,-0.40393218,0.32370588,-0.37033182
11,11,11,12.0,0.82626265,0.81111115,0.35346234,-0.3944289,0.31898493,-0.3646982
12,12,12,13.0,0.82626265,0.81111115,0.3437148,-0.384978,0.31375292,-0.3585317
13,13,13,14.0,0.82626265,0.81111115,0.33437172,-0.37568706,0.30819598,-0.35204738
14,14,14,15.0,0.82626265,0.81111115,0.32542917,-0.366624,0.30244765,-0.3453972
15,15,15,16.0,0.82626265,0.81111115,0.31687555,-0.3578298,0.29660457,-0.338689
16,16,16,17.0,0.82626265,0.81111115,0.30869526,-0.3493274,0.29073694,-0.33199903
17,17,17,18.0,0.82626265,0.81111115,0.30087084,-0.34112734,0.28489608,-0.32538122
18,18,18,19.0,0.82626265,0.82626265,0.2933843,-0.33323187,0.27911925,-0.31887308
19,19,19,20.0,0.82626265,0.82626265,0.28621802,-0.32563767,0.2734334,-0.31250024
20,20,20,21.0,0.82626265,0.82626265,0.27935493,-0.31833774,0.2678577,-0.3062798
21,21,21,22.0,0.82626265,0.82626265,0.2727786,-0.3113228,0.2624056,-0.30022246
22,22,22,23.0,0.82626265,0.82626265,0.26647356,-0.30458206,0.25708622,-0.29433423
23,23,23,24.0,0.82626265,0.82626265,0.26042515,-0.29810405,0.25190505,-0.28861776
24,24,24,25.0,0.82626265,0.82626265,0.2546197,-0.29187697,0.24686542,-0.28307313
25,25,25,26.0,0.82626265,0.82626265,0.24904415,-0.28588897,0.2419684,-0.27769867
26,26,26,27.0,0.82626265,0.82626265,0.24368644,-0.28012848,0.23721373,-0.2724914
27,27,27,28.0,0.82626265,0.82626265,0.23853514,-0.27458423,0.23260005,-0.26744747
28,28,28,29.0,0.82626265,0.82626265,0.23357952,-0.26924542,0.22812513,-0.26256242
29,29,29,30.0,0.82626265,0.82626265,0.22880948,-0.26410168,0.22378604,-0.25783134
30,30,30,31.0,0.8929294,0.82626265,0.22421563,-0.2591432,0.21957962,-0.2532491
31,31,31,32.0,0.8929294,0.82626265,0.21978898,-0.2543607,0.21550214,-0.24881053
32,32,32,33.0,0.8929294,0.82626265,0.21552125,-0.24974534,0.21154988,-0.24451037
33,33,33,34.0,0.8929294,0.82626265,0.21140453,-0.2452889,0.20771877,-0.24034342
34,34,34,35.0,0.8929294,0.82626265,0.20743147,-0.24098352,0.20400493,-0.23630457
35,35,35,36.0,0.8929294,0.82626265,0.20359501,-0.23682189,0.20040429,-0.23238882
36,36,36,37.0,0.8929294,0.8929294,0.19988863,-0.2327971,0.1969128,-0.22859144
37,37,37,38.0,0.8929294,0.8929294,0.19630618,-0.22890267,0.19352657,-0.22490768
38,38,38,39.0,0.8929294,0.8929294,0.19284178,-0.2251325,0.1902417,-0.22133307
39,39,39,40.0,0.8929294,0.8929294,0.18948992,-0.22148085,0.18705443,-0.21786337
40,40,40,41.0,0.8929294,0.8929294,0.18624544,-0.21794233,0.1839611,-0.21449438
41,41,41,42.0,0.8929294,0.8929294,0.18310347,-0.2145119,0.1809581,-0.21122214
42,42,42,43.0,0.8929294,0.8929294,0.18005931,-0.21118474,0.17804207,-0.20804298
43,43,43,44.0,0.8929294,0.8929294,0.17710872,-0.2079564,0.17520961,-0.20495316
44,44,44,45.0,0.8929294,0.8929294,0.17424743,-0.20482261,0.17245758,-0.20194933
