,copies,f1,f1_fid,score_p,score_n,score_fidp,score_fidn
0,1.0,0.79454756,0.79237366,-0.031097692,-0.09131477,-0.024442062,-0.055417098
1,2.0,0.78621423,0.7973381,-0.038990233,-0.10180613,-0.03514225,-0.07702108
2,3.0,0.7897295,0.7911787,-0.041139316,-0.102001324,-0.03890169,-0.08475798
3,4.0,0.78896624,0.7947248,-0.04060622,-0.098885596,-0.03924485,-0.08638942
4,5.0,0.7942384,0.7947248,-0.0388348,-0.09465146,-0.037962444,-0.08523562
5,6.0,0.7942384,0.7942384,-0.036541324,-0.09014194,-0.03595496,-0.08281448
6,7.0,0.8017535,0.8070256,-0.034082986,-0.08570542,-0.033673186,-0.079853915
7,8.0,0.80149114,0.8017535,-0.03163724,-0.08148434,-0.031342436,-0.076714054
8,9.0,0.8101919,0.8115505,-0.029290598,-0.07752957,-0.029074306,-0.07357545
9,10.0,0.8006716,0.8016812,-0.027082775,-0.073850244,-0.026922196,-0.07052776
10,11.0,0.78962654,0.79715633,-0.025028959,-0.07043667,-0.02490914,-0.06761324
11,12.0,0.7953851,0.80079573,-0.02313135,-0.06727134,-0.023042029,-0.06484907
12,13.0,0.79896563,0.79896563,-0.021385271,-0.06433414,-0.021319157,-0.062239103
13,14.0,0.8094331,0.80406773,-0.019782523,-0.061604917,-0.019734293,-0.05978012
14,15.0,0.81276333,0.81276333,-0.018313272,-0.059064634,-0.01827895,-0.057465423
15,16.0,0.81619185,0.81276333,-0.016967136,-0.056695797,-0.016943708,-0.05528661
16,17.0,0.8107813,0.81619185,-0.015733803,-0.0544826,-0.015718956,-0.053234816
17,18.0,0.8162781,0.8162781,-0.014603378,-0.052410882,-0.014595318,-0.05130115
18,19.0,0.8047019,0.8162781,-0.013566581,-0.050468005,-0.013563907,-0.04947711
19,20.0,0.8047019,0.8047019,-0.012614822,-0.048642706,-0.012616429,-0.04775469
20,21.0,0.81352586,0.81352586,-0.01174023,-0.04692494,-0.011745246,-0.04612646
21,22.0,0.81352586,0.81352586,-0.010935644,-0.045305744,-0.010943373,-0.044585545
22,23.0,0.81352586,0.81352586,-0.010194573,-0.043777123,-0.01020446,-0.04312566
23,24.0,0.8172492,0.8172492,-0.009511162,-0.042331897,-0.009522759,-0.04174102
24,25.0,0.8172492,0.8172492,-0.008880128,-0.04096364,-0.008893078,-0.04042637
25,26.0,0.8172492,0.8172492,-0.0082967235,-0.039666545,-0.008310731,-0.039176874
26,27.0,0.8172492,0.8172492,-0.007756673,-0.038435396,-0.0077714995,-0.037988115
27,28.0,0.8172492,0.8172492,-0.0072561316,-0.03726548,-0.0072715827,-0.036856055
28,29.0,0.8183816,0.8231689,-0.006791644,-0.036152508,-0.0068075582,-0.035776995
29,30.0,0.82716495,0.82716495,-0.006360096,-0.03509259,-0.0063763396,-0.03474753
30,31.0,0.82716495,0.82716495,-0.005958684,-0.03408218,-0.0059751472,-0.03376454
31,32.0,0.82716495,0.82716495,-0.005584878,-0.03311805,-0.0056014685,-0.032825153
32,33.0,0.82716495,0.8328215,-0.0052363956,-0.032197244,-0.005253037,-0.03192672
33,34.0,0.8328215,0.8328215,-0.004911173,-0.031317048,-0.0049278005,-0.03106681
34,35.0,0.82716495,0.8328215,-0.0046073417,-0.030474976,-0.004623902,-0.030243147
35,36.0,0.82349336,0.82349336,-0.0043232096,-0.029668728,-0.0043396577,-0.029453654
36,37.0,0.8199781,0.8199781,-0.004057241,-0.028896201,-0.004073537,-0.0286964
37,38.0,0.8199781,0.8199781,-0.003808039,-0.02815544,-0.0038241516,-0.02796958
38,39.0,0.8199781,0.8199781,-0.0035743327,-0.027444636,-0.0035902362,-0.027271533
39,40.0,0.8199781,0.8199781,-0.0033549648,-0.026762128,-0.0033706366,-0.026600704
40,41.0,0.8199781,0.8199781,-0.0031488799,-0.026106354,-0.003164302,-0.025955647
41,42.0,0.8199781,0.8199781,-0.0029551112,-0.025475878,-0.00297027,-0.02533502
42,43.0,0.8199781,0.8199781,-0.0027727769,-0.02486935,-0.0027876594,-0.024737556
43,44.0,0.82324344,0.8199781,-0.002601068,-0.02428553,-0.0026156646,-0.02416208
44,45.0,0.82324344,0.82324344,-0.002439241,-0.023723243,-0.0024535458,-0.023607496
45,46.0,0.82324344,0.82324344,-0.0022866165,-0.023181401,-0.0023006233,-0.023072768
46,47.0,0.8184125,0.82324344,-0.002142568,-0.022658989,-0.0021562732,-0.022556935
47,48.0,0.8224529,0.8224529,-0.0020065177,-0.022155045,-0.0020199195,-0.022059085
48,49.0,0.8224529,0.8224529,-0.0018779349,-0.02166868,-0.001891033,-0.021578368
49,50.0,0.8224529,0.8224529,-0.0017563298,-0.021199057,-0.0017691245,-0.021113982
50,51.0,0.8224529,0.8224529,-0.00164125,-0.020745378,-0.0016537423,-0.020665174
51,52.0,0.8184125,0.8184125,-0.0015322769,-0.020306911,-0.0015444683,-0.020231234
52,53.0,0.8184125,0.8184125,-0.0014290232,-0.019882957,-0.0014409176,-0.019811492
53,54.0,0.8184125,0.8184125,-0.001331131,-0.019472856,-0.0013427314,-0.01940532
54,55.0,0.81504375,0.8184125,-0.0012382681,-0.019075993,-0.0012495785,-0.019012121
55,56.0,0.81504375,0.81504375,-0.0011501255,-0.018691784,-0.0011611509,-0.018631332
56,57.0,0.81504375,0.81504375,-0.0010664172,-0.018319678,-0.0010771625,-0.01826242
57,58.0,0.81504375,0.81504375,-0.0009868776,-0.017959151,-0.0009973478,-0.017904883
58,59.0,0.81504375,0.81504375,-0.00091125874,-0.017609714,-0.0009214595,-0.017558247
59,60.0,0.81504375,0.81504375,-0.00083933084,-0.017270904,-0.00084926776,-0.017222054
60,61.0,0.8184451,0.8184451,-0.000770879,-0.016942276,-0.00078055763,-0.016895885
61,62.0,0.8184451,0.8184451,-0.00070570246,-0.016623415,-0.00071512983,-0.01657933
62,63.0,0.8184451,0.8184451,-0.0006436162,-0.016313922,-0.0006527974,-0.016272001
63,64.0,0.8184451,0.8184451,-0.0005844447,-0.016013425,-0.0005933859,-0.01597354
64,65.0,0.8184451,0.8184451,-0.0005280258,-0.015721569,-0.00053673366,-0.015683595
65,66.0,0.8184451,0.8184451,-0.00047420696,-0.015438008,-0.00048268717,-0.015401836
66,67.0,0.81344974,0.81344974,-0.00042284638,-0.015162428,-0.00043110517,-0.015127952
67,68.0,0.81344974,0.81344974,-0.0003738107,-0.01489452,-0.00038185407,-0.0148616405
68,69.0,0.81344974,0.81344974,-0.0003269746,-0.014633993,-0.00033480898,-0.014602621
69,70.0,0.8182117,0.8182117,-0.0002822218,-0.014380569,-0.0002898531,-0.01435062
70,71.0,0.8182117,0.8182117,-0.0002394428,-0.014133985,-0.00024687633,-0.014105381
71,72.0,0.8182117,0.8182117,-0.00019853399,-0.01389399,-0.00020577581,-0.0138666555
72,73.0,0.82386816,0.82386816,-0.00015939967,-0.013660344,-0.00016645533,-0.0136342095
73,74.0,0.82386816,0.82386816,-0.00012194845,-0.013432818,-0.00012882361,-0.013407819
74,75.0,0.81865084,0.82386816,-8.609604e-05,-0.013211196,-9.279568e-05,-0.013187272
75,76.0,0.81865084,0.81865084,-5.1761348e-05,-0.012995265,-5.8291364e-05,-0.012972358
76,77.0,0.81865084,0.81865084,-1.8869363e-05,-0.012784829,-2.5234582e-05,-0.012762889
77,78.0,0.81865084,0.81865084,1.265076e-05,-0.012579697,6.4453343e-06,-0.012558672
78,79.0,0.81865084,0.81865084,4.2865962e-05,-0.012379688,3.6815112e-05,-0.012359532
79,80.0,0.81865084,0.81865084,7.183885e-05,-0.012184627,6.593841e-05,-0.012165294
80,81.0,0.81865084,0.81865084,9.962914e-05,-0.011994349,9.387413e-05,-0.011975798
81,82.0,0.81865084,0.81865084,0.00012629262,-0.011808691,0.000120678844,-0.011790885
82,83.0,0.81865084,0.81865084,0.00015188217,-0.011627502,0.00014640494,-0.011610404
83,84.0,0.81865084,0.81865084,0.00017644753,-0.011450636,0.00017110295,-0.01143421
84,85.0,0.81865084,0.81865084,0.00020003579,-0.011277954,0.00019481951,-0.01126217
85,86.0,0.81865084,0.81865084,0.00022269148,-0.01110932,0.00021759956,-0.0110941455
86,87.0,0.81865084,0.81865084,0.0002444566,-0.010944607,0.00023948555,-0.010930011
87,88.0,0.81865084,0.81865084,0.00026537088,-0.010783687,0.00026051633,-0.010769646
88,89.0,0.81865084,0.81865084,0.00028547196,-0.010626445,0.00028073075,-0.010612931
89,90.0,0.8240614,0.8240614,0.0003047953,-0.010472763,0.00030016422,-0.010459756
90,91.0,0.8240614,0.8240614,0.00032337476,-0.010322535,0.0003188501,-0.010310007
91,92.0,0.8240614,0.8240614,0.00034124203,-0.010175656,0.000336821,-0.0101635875
92,93.0,0.8240614,0.8240614,0.00035842814,-0.010032021,0.000354107,-0.010020391
93,94.0,0.8240614,0.8240614,0.00037496083,-0.009891535,0.0003707371,-0.009880324
94,95.0,0.8240614,0.8240614,0.00039086788,-0.009754104,0.00038673865,-0.009743293
95,96.0,0.8240614,0.8240614,0.00040617498,-0.009619636,0.0004021374,-0.009609209
96,97.0,0.8240614,0.8240614,0.0004209069,-0.009488048,0.0004169581,-0.009477986
97,98.0,0.8240614,0.8240614,0.00043508672,-0.009359252,0.000431224,-0.009349542
98,99.0,0.8240614,0.8240614,0.00044873665,-0.00923317,0.0004449577,-0.009223795
99,100.0,0.8240614,0.8240614,0.00046187747,-0.009109722,0.00045817991,-0.009100671
