,copies,f1,f1_fid
0,51.75,0.80664605,0.79237366
1,51.75,0.80150425,0.79237366
2,51.75,0.797739,0.79237366
3,51.75,0.79454756,0.79237366
4,51.75,0.79454756,0.79237366
5,51.75,0.79454756,0.7973381
6,51.75,0.78621423,0.7973381
7,51.75,0.78621423,0.7973381
8,51.75,0.78621423,0.7973381
9,51.75,0.78621423,0.7911787
10,51.75,0.7897295,0.7911787
11,51.75,0.7897295,0.7911787
12,51.75,0.7947248,0.7911787
13,51.75,0.78896624,0.7947248
14,51.75,0.78896624,0.7947248
15,51.75,0.78896624,0.7947248
16,51.75,0.78896624,0.7947248
17,51.75,0.7942384,0.7947248
18,51.75,0.7942384,0.7947248
19,51.75,0.7942384,0.7947248
20,51.75,0.7942384,0.799997
21,51.75,0.7942384,0.799997
22,51.75,0.7942384,0.7942384
23,51.75,0.7942384,0.7942384
24,51.75,0.7942384,0.7942384
25,51.75,0.80223835,0.7989443
26,51.75,0.8017535,0.80223835
27,51.75,0.8017535,0.8070256
28,51.75,0.7969662,0.7969662
29,51.75,0.7969662,0.7969662
30,51.75,0.7969662,0.7969662
31,51.75,0.80149114,0.8017535
32,51.75,0.8101919,0.8115505
33,51.75,0.8149791,0.8115505
34,51.75,0.8101919,0.8115505
35,51.75,0.8101919,0.8115505
36,51.75,0.8101919,0.8115505
37,51.75,0.80519646,0.80519646
38,51.75,0.80519646,0.8016812
39,51.75,0.8006716,0.8016812
40,51.75,0.791976,0.8016812
41,51.75,0.7865653,0.79715633
42,51.75,0.7865653,0.79715633
43,51.75,0.78962654,0.79715633
44,51.75,0.78962654,0.791976
45,51.75,0.78962654,0.791976
46,51.75,0.78962654,0.79773456
47,51.75,0.7953851,0.80079573
48,51.75,0.79896563,0.7953851
49,51.75,0.79896563,0.7989565
50,51.75,0.79896563,0.79896563
51,51.75,0.79896563,0.79896563
52,51.75,0.79896563,0.79896563
53,51.75,0.79896563,0.79896563
54,51.75,0.80406773,0.79896563
55,51.75,0.8094331,0.80406773
56,51.75,0.8094331,0.80406773
57,51.75,0.81276333,0.81276333
58,51.75,0.81276333,0.81276333
59,51.75,0.81276333,0.81276333
60,51.75,0.81276333,0.81276333
61,51.75,0.81276333,0.81276333
62,51.75,0.81619185,0.81276333
63,51.75,0.81619185,0.81276333
64,51.75,0.8110899,0.81276333
65,51.75,0.8110899,0.8110899
66,51.75,0.81619185,0.81619185
67,51.75,0.8107813,0.81619185
68,51.75,0.8107813,0.8107813
69,51.75,0.8107813,0.8107813
70,51.75,0.8107813,0.8162781
71,51.75,0.8162781,0.8162781
72,51.75,0.8162781,0.8162781
73,51.75,0.81062156,0.8162781
74,51.75,0.8047019,0.8162781
75,51.75,0.8047019,0.8162781
76,51.75,0.8047019,0.8162781
77,51.75,0.8047019,0.8162781
78,51.75,0.8085073,0.8047019
79,51.75,0.8047019,0.8047019
80,51.75,0.8047019,0.80995435
81,51.75,0.8082733,0.80995435
82,51.75,0.81352586,0.81352586
83,51.75,0.81352586,0.81352586
84,51.75,0.81352586,0.81352586
85,51.75,0.81352586,0.81352586
86,51.75,0.81352586,0.81352586
87,51.75,0.81352586,0.81352586
88,51.75,0.81352586,0.81352586
89,51.75,0.81352586,0.81352586
90,51.75,0.81352586,0.81352586
91,51.75,0.81352586,0.81352586
92,51.75,0.81352586,0.81352586
93,51.75,0.8172492,0.81352586
94,51.75,0.8172492,0.81352586
95,51.75,0.8172492,0.8172492
96,51.75,0.8172492,0.8172492
97,51.75,0.8172492,0.8172492
98,51.75,0.8172492,0.8172492
99,51.75,0.8172492,0.8172492
100,51.75,0.8172492,0.8172492
101,51.75,0.8172492,0.8172492
102,51.75,0.8172492,0.8172492
103,51.75,0.8172492,0.8172492
104,51.75,0.8172492,0.8172492
105,51.75,0.8172492,0.8172492
106,51.75,0.8172492,0.8172492
107,51.75,0.8172492,0.8172492
108,51.75,0.8172492,0.8172492
109,51.75,0.8172492,0.8172492
110,51.75,0.8172492,0.8172492
111,51.75,0.8172492,0.8172492
112,51.75,0.8172492,0.8172492
113,51.75,0.8231689,0.8231689
114,51.75,0.8183816,0.8231689
115,51.75,0.8183816,0.8231689
116,51.75,0.82716495,0.8280668
117,51.75,0.82716495,0.82716495
118,51.75,0.82716495,0.82716495
119,51.75,0.82716495,0.82716495
120,51.75,0.82716495,0.82716495
121,51.75,0.82716495,0.82716495
122,51.75,0.82716495,0.82716495
123,51.75,0.82716495,0.82716495
124,51.75,0.82716495,0.82716495
125,51.75,0.82716495,0.82716495
126,51.75,0.82716495,0.82716495
127,51.75,0.82716495,0.82716495
128,51.75,0.82716495,0.82716495
129,51.75,0.82716495,0.82716495
130,51.75,0.82716495,0.82716495
131,51.75,0.82716495,0.8328215
132,51.75,0.8328215,0.8328215
133,51.75,0.8328215,0.8328215
134,51.75,0.8328215,0.8328215
135,51.75,0.8328215,0.8328215
136,51.75,0.8328215,0.8328215
137,51.75,0.8328215,0.8328215
138,51.75,0.8328215,0.8328215
139,51.75,0.82716495,0.8328215
140,51.75,0.82716495,0.8328215
141,51.75,0.82716495,0.82716495
142,51.75,0.82349336,0.82349336
143,51.75,0.82349336,0.82349336
144,51.75,0.82349336,0.82349336
145,51.75,0.8199781,0.8199781
146,51.75,0.8199781,0.8199781
147,51.75,0.8199781,0.8199781
148,51.75,0.8199781,0.8199781
149,51.75,0.8199781,0.8199781
150,51.75,0.8199781,0.8199781
151,51.75,0.8199781,0.8199781
152,51.75,0.8199781,0.8199781
153,51.75,0.8199781,0.8199781
154,51.75,0.8199781,0.8199781
155,51.75,0.8199781,0.8199781
156,51.75,0.8199781,0.8199781
157,51.75,0.8199781,0.8199781
158,51.75,0.8199781,0.8199781
159,51.75,0.8199781,0.8199781
160,51.75,0.8199781,0.8199781
161,51.75,0.8199781,0.8199781
162,51.75,0.8199781,0.8199781
163,51.75,0.8199781,0.8199781
164,51.75,0.8199781,0.8199781
165,51.75,0.8199781,0.8199781
166,51.75,0.8199781,0.8199781
167,51.75,0.8199781,0.8199781
168,51.75,0.8199781,0.8199781
