,copies,f1,f1_fid,score_p,score_n,score_fidp,score_fidn
0,1.0,1.0,1.0,0.3701171,-0.36990586,0.14066747,-0.14029257
1,2.0,1.0,1.0,0.5016049,-0.5011743,0.25934258,-0.25863403
2,3.0,1.0,1.0,0.58949697,-0.58882433,0.35950646,-0.35849434
3,4.0,1.0,1.0,0.6539919,-0.6530634,0.44406813,-0.44277412
4,5.0,1.0,1.0,0.7033591,-0.7021663,0.51546234,-0.51390135
5,6.0,1.0,1.0,0.74203926,-0.7405773,0.5757295,-0.5739118
6,7.0,1.0,1.0,0.7727703,-0.7710362,0.626582,-0.62451416
7,8.0,1.0,1.0,0.7973875,-0.7953798,0.66945934,-0.6671449
8,9.0,1.0,1.0,0.8171917,-0.8149098,0.7055726,-0.70301354
9,10.0,1.0,1.0,0.8331419,-0.8305858,0.7359427,-0.7331394
10,11.0,1.0,1.0,0.845966,-0.84313565,0.76143086,-0.75838274
11,12.0,1.0,1.0,0.8562285,-0.8531245,0.7827648,-0.77947086
12,13.0,1.0,1.0,0.8643755,-0.8609983,0.8005603,-0.7970191
13,14.0,1.0,1.0,0.8707638,-0.8671139,0.8153388,-0.8115486
14,15.0,1.0,1.0,0.8756825,-0.8717605,0.8275425,-0.8235016
15,16.0,1.0,1.0,0.8793675,-0.87517405,0.83754694,-0.83325374
16,17.0,1.0,1.0,0.88201344,-0.8775493,0.8456712,-0.84112436
17,18.0,1.0,1.0,0.88378143,-0.8790472,0.85218704,-0.84738505
18,19.0,1.0,1.0,0.88480586,-0.87980235,0.85732573,-0.85226756
19,20.0,1.0,1.0,0.8851994,-0.87992734,0.86128485,-0.8559696
20,21.0,1.0,1.0,0.8850568,-0.87951696,0.8642329,-0.85865974
21,22.0,1.0,1.0,0.88445777,-0.87865126,0.86631393,-0.8604826
22,23.0,1.0,1.0,0.88347024,-0.8773979,0.86765116,-0.8615612
23,24.0,1.0,1.0,0.8821518,-0.8758146,0.8683502,-0.8620017
24,25.0,1.0,1.0,0.8805512,-0.87395036,0.86850166,-0.8618947
25,26.0,1.0,1.0,0.87871057,-0.87184715,0.86818314,-0.86131793
26,27.0,1.0,1.0,0.8766655,-0.8695408,0.8674614,-0.8603385
27,28.0,1.0,1.0,0.8744467,-0.8670619,0.86639374,-0.85901386
28,29.0,1.0,1.0,0.8720806,-0.8644369,0.8650297,-0.8573934
29,30.0,1.0,1.0,0.8695897,-0.8616885,0.8634116,-0.8555199
30,31.0,1.0,1.0,0.86699355,-0.8588363,0.86157626,-0.8534301
31,32.0,1.0,1.0,0.86430883,-0.85589695,0.85955524,-0.85115564
32,33.0,1.0,1.0,0.86155003,-0.8528851,0.8573759,-0.84872407
33,34.0,1.0,1.0,0.8587297,-0.8498133,0.85506165,-0.84615886
34,35.0,1.0,1.0,0.8558587,-0.84669226,0.8526331,-0.84348077
35,36.0,1.0,1.0,0.85294646,-0.8435314,0.85010755,-0.8407072
36,37.0,1.0,1.0,0.85000074,-0.840339,0.8475007,-0.8378536
37,38.0,1.0,1.0,0.84702885,-0.83712196,0.84482557,-0.8349333
38,39.0,1.0,1.0,0.8440367,-0.8338863,0.84209365,-0.8319578
39,40.0,1.0,1.0,0.8410295,-0.8306376,0.83931476,-0.82893693
40,41.0,1.0,1.0,0.8380121,-0.82738,0.83649766,-0.82587945
41,42.0,1.0,1.0,0.83498824,-0.8241178,0.8336498,-0.8227931
42,43.0,1.0,1.0,0.83196133,-0.8208543,0.8307775,-0.8196839
43,44.0,1.0,1.0,0.8289344,-0.81759244,0.8278869,-0.8165579
44,45.0,1.0,1.0,0.8259098,-0.81433487,0.82498217,-0.8134198
45,46.0,1.0,1.0,0.8228901,-0.8110841,0.82206804,-0.81027395
46,47.0,1.0,1.0,0.81987697,-0.8078415,0.81914806,-0.80712414
47,48.0,1.0,1.0,0.8168721,-0.8046091,0.81622535,-0.8039734
48,49.0,1.0,1.0,0.813877,-0.8013884,0.8133028,-0.8008245
49,50.0,1.0,1.0,0.81089294,-0.7981802,0.8103827,-0.79768
50,51.0,1.0,1.0,0.8079208,-0.79498607,0.8074673,-0.794542
51,52.0,1.0,1.0,0.8049618,-0.79180664,0.80455816,-0.79141223
52,53.0,1.0,1.0,0.80201626,-0.78864276,0.8016571,-0.7882921
53,54.0,1.0,1.0,0.7990851,-0.78549504,0.7987652,-0.7851833
54,55.0,1.0,1.0,0.7961688,-0.7823641,0.7958837,-0.78208673
55,56.0,1.0,1.0,0.793268,-0.7792503,0.79301363,-0.77900344
56,57.0,1.0,1.0,0.7903828,-0.77615416,0.79015595,-0.7759342
57,58.0,1.0,1.0,0.78751373,-0.77307594,0.78731114,-0.77287996
58,59.0,1.0,1.0,0.784661,-0.7700159,0.78448,-0.7698411
59,60.0,1.0,1.0,0.78182477,-0.7669742,0.78166294,-0.76681834
60,61.0,1.0,1.0,0.77900517,-0.7639511,0.7788605,-0.76381195
61,62.0,1.0,1.0,0.7762025,-0.76094663,0.776073,-0.7608224
62,63.0,1.0,1.0,0.7734167,-0.757961,0.77330077,-0.7578499
63,64.0,1.0,1.0,0.7706479,-0.75499403,0.77054393,-0.7548948
64,65.0,1.0,1.0,0.7678959,-0.752046,0.76780283,-0.7519572
65,66.0,1.0,1.0,0.76516104,-0.7491168,0.7650775,-0.74903727
66,67.0,1.0,1.0,0.7624432,-0.7462063,0.7623682,-0.7461351
67,68.0,1.0,1.0,0.75974214,-0.7433146,0.7596749,-0.7432509
68,69.0,1.0,1.0,0.757058,-0.7404417,0.7569976,-0.7403846
69,70.0,1.0,1.0,0.75439084,-0.7375874,0.75433654,-0.7375362
70,71.0,1.0,1.0,0.7517404,-0.7347517,0.7516916,-0.73470575
71,72.0,1.0,1.0,0.7491067,-0.73193455,0.74906266,-0.7318933
72,73.0,1.0,1.0,0.7464895,-0.72913575,0.74644995,-0.72909874
73,74.0,1.0,1.0,0.74388874,-0.72635525,0.7438532,-0.72632205
74,75.0,1.0,1.0,0.7413045,-0.72359294,0.7412724,-0.7235631
75,76.0,1.0,1.0,0.7387365,-0.7208487,0.7387076,-0.7208218
76,77.0,1.0,1.0,0.7361847,-0.7181224,0.73615867,-0.7180982
77,78.0,1.0,1.0,0.73364896,-0.7154139,0.7336254,-0.71539223
78,79.0,1.0,1.0,0.7311291,-0.71272314,0.73110783,-0.7127036
79,80.0,1.0,1.0,0.72862506,-0.71005,0.7286059,-0.71003234
80,81.0,1.0,1.0,0.7261368,-0.7073941,0.7261194,-0.7073783
81,82.0,1.0,1.0,0.7236639,-0.70475566,0.7236483,-0.7047414
82,83.0,1.0,1.0,0.72120667,-0.7021344,0.7211925,-0.7021215
83,84.0,1.0,1.0,0.7187646,-0.69953,0.7187518,-0.69951844
84,85.0,1.0,1.0,0.71633774,-0.6969426,0.7163261,-0.6969322
85,86.0,1.0,1.0,0.7139259,-0.69437206,0.7139154,-0.6943626
86,87.0,1.0,1.0,0.711529,-0.69181794,0.7115194,-0.6918094
87,88.0,1.0,1.0,0.7091468,-0.68928033,0.7091382,-0.68927264
88,89.0,1.0,1.0,0.70677936,-0.686759,0.7067715,-0.686752
89,90.0,1.0,1.0,0.7044264,-0.68425393,0.7044193,-0.6842476
90,91.0,1.0,1.0,0.70208776,-0.6817649,0.7020814,-0.6817592
91,92.0,1.0,1.0,0.6997635,-0.6792918,0.6997577,-0.6792866
92,93.0,1.0,1.0,0.6974533,-0.6768342,0.697448,-0.6768297
93,94.0,1.0,1.0,0.6951572,-0.6743925,0.6951524,-0.6743883
94,95.0,1.0,1.0,0.69287485,-0.6719663,0.6928705,-0.6719625
95,96.0,1.0,1.0,0.6906063,-0.6695553,0.6906023,-0.66955197
96,97.0,1.0,1.0,0.68835133,-0.66715974,0.6883478,-0.6671566
97,98.0,1.0,1.0,0.68610996,-0.66477907,0.68610674,-0.6647762
98,99.0,1.0,1.0,0.683882,-0.6624134,0.6838791,-0.66241086
99,100.0,1.0,1.0,0.6816672,-0.6600626,0.6816646,-0.6600603
