,copies,f1,f1_fid
0,32.75,1.0,1.0
1,32.75,1.0,1.0
2,32.75,1.0,1.0
3,32.75,1.0,1.0
4,32.75,1.0,1.0
5,32.75,1.0,1.0
6,32.75,1.0,1.0
7,32.75,1.0,1.0
8,32.75,1.0,1.0
9,32.75,1.0,1.0
10,32.75,1.0,1.0
11,32.75,1.0,1.0
12,32.75,1.0,1.0
13,32.75,1.0,1.0
14,32.75,1.0,1.0
15,32.75,1.0,1.0
16,32.75,1.0,1.0
17,32.75,1.0,1.0
18,32.75,1.0,1.0
19,32.75,1.0,1.0
20,32.75,1.0,1.0
21,32.75,1.0,1.0
22,32.75,1.0,1.0
23,32.75,1.0,1.0
24,32.75,1.0,1.0
25,32.75,1.0,1.0
26,32.75,1.0,1.0
27,32.75,1.0,1.0
28,32.75,1.0,1.0
29,32.75,1.0,1.0
30,32.75,1.0,1.0
31,32.75,1.0,1.0
32,32.75,1.0,1.0
33,32.75,1.0,1.0
34,32.75,1.0,1.0
35,32.75,1.0,1.0
36,32.75,1.0,1.0
37,32.75,1.0,1.0
38,32.75,1.0,1.0
39,32.75,1.0,1.0
40,32.75,1.0,1.0
41,32.75,1.0,1.0
42,32.75,1.0,1.0
43,32.75,1.0,1.0
44,32.75,1.0,1.0
45,32.75,1.0,1.0
46,32.75,1.0,1.0
47,32.75,1.0,1.0
48,32.75,1.0,1.0
49,32.75,1.0,1.0
50,32.75,1.0,1.0
51,32.75,1.0,1.0
52,32.75,1.0,1.0
53,32.75,1.0,1.0
54,32.75,1.0,1.0
55,32.75,1.0,1.0
56,32.75,1.0,1.0
57,32.75,1.0,1.0
58,32.75,1.0,1.0
59,32.75,1.0,1.0
60,32.75,1.0,1.0
61,32.75,1.0,1.0
62,32.75,1.0,1.0
63,32.75,1.0,1.0
64,32.75,1.0,1.0
65,32.75,1.0,1.0
66,32.75,1.0,1.0
67,32.75,1.0,1.0
68,32.75,1.0,1.0
69,32.75,1.0,1.0
70,32.75,1.0,1.0
71,32.75,1.0,1.0
72,32.75,1.0,1.0
73,32.75,1.0,1.0
74,32.75,1.0,1.0
75,32.75,1.0,1.0
76,32.75,1.0,1.0
77,32.75,1.0,1.0
78,32.75,1.0,1.0
79,32.75,1.0,1.0
80,32.75,1.0,1.0
81,32.75,1.0,1.0
82,32.75,1.0,1.0
83,32.75,1.0,1.0
84,32.75,1.0,1.0
85,32.75,1.0,1.0
86,32.75,1.0,1.0
87,32.75,1.0,1.0
88,32.75,1.0,1.0
89,32.75,1.0,1.0
90,32.75,1.0,1.0
91,32.75,1.0,1.0
92,32.75,1.0,1.0
93,32.75,1.0,1.0
94,32.75,1.0,1.0
95,32.75,1.0,1.0
96,32.75,1.0,1.0
97,32.75,1.0,1.0
98,32.75,1.0,1.0
99,32.75,1.0,1.0
100,32.75,1.0,1.0
101,32.75,1.0,1.0
102,32.75,1.0,1.0
103,32.75,1.0,1.0
104,32.75,1.0,1.0
105,32.75,1.0,1.0
106,32.75,1.0,1.0
107,32.75,1.0,1.0
108,32.75,1.0,1.0
109,32.75,1.0,1.0
110,32.75,1.0,1.0
111,32.75,1.0,1.0
112,32.75,1.0,1.0
113,32.75,1.0,1.0
