,copies,f1,f1_fid,score_p,score_n,score_fidp,score_fidn
0,1.0,0.7877226,0.7458645,-0.038155563,-0.05873078,-0.0048362906,-0.006915034
1,2.0,0.7789868,0.7213458,-0.043272447,-0.0726522,-0.0067577898,-0.011294227
2,3.0,0.7713653,0.70220125,-0.043112062,-0.078808725,-0.007041526,-0.0140726
3,4.0,0.76507443,0.7063994,-0.04094831,-0.08145713,-0.006418193,-0.015833052
4,5.0,0.7709692,0.6954462,-0.037955992,-0.08225484,-0.0053026397,-0.016939402
5,6.0,0.75756675,0.6874808,-0.034632813,-0.08199893,-0.0039283587,-0.017619217
6,7.0,0.7636504,0.6766645,-0.031204635,-0.081114754,-0.002425545,-0.018015388
7,8.0,0.759793,0.6714069,-0.027777646,-0.079845116,-0.00086611183,-0.018218232
8,9.0,0.75166494,0.66712123,-0.02440292,-0.078335896,0.00071056467,-0.018285427
9,10.0,0.75166494,0.6649333,-0.021105424,-0.0766786,0.00228304,-0.018254409
10,11.0,0.7473792,0.6589049,-0.017897587,-0.07493298,0.003839631,-0.01815004
11,12.0,0.74225104,0.6606854,-0.014785627,-0.07313945,0.0053738984,-0.017989358
12,13.0,0.74225104,0.66697586,-0.011772576,-0.07132624,0.0068821823,-0.017784495
13,14.0,0.7378066,0.66697586,-0.008859682,-0.069513634,0.008362303,-0.01754448
14,15.0,0.7339219,0.6541154,-0.0060470877,-0.06771652,0.009812886,-0.017276337
15,16.0,0.7339219,0.64724666,-0.00333418,-0.065945946,0.011233013,-0.016985754
16,17.0,0.7285885,0.6422693,-0.0007197546,-0.06421025,0.012622063,-0.016677488
17,18.0,0.7230375,0.6422693,0.00179787,-0.0625157,0.013979627,-0.016355615
18,19.0,0.7230375,0.63971823,0.0042207516,-0.06086693,0.01530548,-0.0160237
19,20.0,0.72797215,0.63971823,0.0065512634,-0.059267342,0.01659955,-0.01568487
20,21.0,0.72218984,0.6355432,0.008792032,-0.057719357,0.017861899,-0.015341881
21,22.0,0.72218984,0.6415716,0.010945863,-0.056224525,0.019092737,-0.0149971815
22,23.0,0.7175777,0.6415716,0.013015692,-0.054783784,0.020292368,-0.014652918
23,24.0,0.7175777,0.6415716,0.015004551,-0.053397506,0.021461213,-0.0143109765
24,25.0,0.7175777,0.6415716,0.016915517,-0.052065622,0.022599775,-0.013972998
25,26.0,0.7135517,0.6415716,0.01875166,-0.0507877,0.02370863,-0.013640401
26,27.0,0.7183037,0.6415716,0.020516062,-0.049563,0.024788413,-0.013314402
27,28.0,0.7183037,0.65261537,0.022211734,-0.04839056,0.025839811,-0.012996033
28,29.0,0.7183037,0.65261537,0.023841644,-0.047269214,0.02686355,-0.012686146
29,30.0,0.7183037,0.65261537,0.025408685,-0.046197653,0.027860364,-0.012385453
30,31.0,0.723637,0.65261537,0.026915664,-0.045174442,0.028831016,-0.012094518
31,32.0,0.723637,0.65261537,0.028365294,-0.04419809,0.029776294,-0.011813785
32,33.0,0.723637,0.6639487,0.029760191,-0.043267004,0.030696964,-0.011543587
33,34.0,0.723637,0.6639487,0.031102872,-0.04237958,0.031593792,-0.011284158
34,35.0,0.723637,0.6639487,0.032395747,-0.041534193,0.03246755,-0.011035645
35,36.0,0.723637,0.6639487,0.033641122,-0.040729187,0.03331898,-0.010798121
36,37.0,0.723637,0.6639487,0.034841213,-0.03996293,0.03414884,-0.010571591
37,38.0,0.723637,0.6639487,0.035998117,-0.03923381,0.034957837,-0.0103560025
38,39.0,0.723637,0.6639487,0.037113838,-0.03854022,0.03574668,-0.010151253
39,40.0,0.723637,0.6639487,0.038190283,-0.037880607,0.036516055,-0.009957196
40,41.0,0.723637,0.67606974,0.039229274,-0.037253432,0.03726662,-0.009773658
41,42.0,0.723637,0.68140304,0.04023254,-0.036657207,0.037999015,-0.009600419
42,43.0,0.723637,0.68140304,0.041201707,-0.036090482,0.038713865,-0.00943725
43,44.0,0.723637,0.68140304,0.04213835,-0.03555187,0.03941176,-0.009283893
44,45.0,0.723637,0.68140304,0.043043934,-0.03504,0.040093284,-0.009140078
45,46.0,0.7188851,0.67606974,0.043919854,-0.034553587,0.040758982,-0.009005519
46,47.0,0.7188851,0.67606974,0.04476746,-0.03409136,0.04140939,-0.008879921
47,48.0,0.7188851,0.67606974,0.045588005,-0.033652127,0.042045012,-0.008762985
48,49.0,0.7188851,0.67606974,0.046382666,-0.033234715,0.042666342,-0.008654406
49,50.0,0.72466743,0.68140304,0.047152597,-0.032838024,0.043273855,-0.0085538775
50,51.0,0.72466743,0.68140304,0.047898866,-0.032461,0.043867994,-0.008461091
51,52.0,0.72466743,0.6863805,0.048622493,-0.032102622,0.0444492,-0.0083757425
52,53.0,0.72466743,0.6863805,0.04932444,-0.031761922,0.045017876,-0.00829753
53,54.0,0.72466743,0.6863805,0.050005637,-0.03143797,0.04557442,-0.008226151
54,55.0,0.72466743,0.6863805,0.05066694,-0.031129897,0.046119224,-0.008161316
55,56.0,0.72466743,0.6863805,0.05130917,-0.030836862,0.046652645,-0.008102735
56,57.0,0.72466743,0.6863805,0.05193313,-0.030558065,0.04717503,-0.008050121
57,58.0,0.7384337,0.6863805,0.05253954,-0.03029274,0.04768672,-0.008003205
58,59.0,0.7384337,0.6863805,0.053129118,-0.030040171,0.04818803,-0.0079617165
59,60.0,0.7384337,0.6863805,0.053702526,-0.029799674,0.04867927,-0.007925396
60,61.0,0.7384337,0.6863805,0.054260414,-0.02957059,0.049160738,-0.007893989
61,62.0,0.7384337,0.6863805,0.05480337,-0.029352307,0.04963271,-0.0078672515
62,63.0,0.7384337,0.6863805,0.055331983,-0.029144231,0.05009547,-0.007844947
63,64.0,0.7384337,0.6863805,0.055846788,-0.028945807,0.05054927,-0.007826848
64,65.0,0.7384337,0.6863805,0.056348313,-0.02875651,0.050994348,-0.007812732
65,66.0,0.7384337,0.6863805,0.056837045,-0.028575834,0.051430963,-0.0078023872
66,67.0,0.7384337,0.6863805,0.05731346,-0.028403308,0.05185935,-0.0077956133
67,68.0,0.7384337,0.6863805,0.05777801,-0.02823848,0.05227971,-0.0077922097
68,69.0,0.7384337,0.6863805,0.058231104,-0.02808093,0.05269227,-0.00779199
69,70.0,0.7384337,0.6863805,0.058673162,-0.027930241,0.053097237,-0.007794774
70,71.0,0.7384337,0.6863805,0.05910458,-0.02778604,0.0534948,-0.0078003877
71,72.0,0.7384337,0.69150865,0.059525717,-0.027647967,0.053885154,-0.007808664
72,73.0,0.7384337,0.68653136,0.059936922,-0.027515674,0.054268487,-0.007819443
73,74.0,0.7384337,0.68653136,0.060338546,-0.02738884,0.05464496,-0.007832577
74,75.0,0.7338216,0.68653136,0.060730904,-0.027267162,0.05501476,-0.007847918
75,76.0,0.7338216,0.68653136,0.0611143,-0.027150344,0.055378042,-0.007865328
76,77.0,0.7338216,0.68653136,0.061489023,-0.027038116,0.05573497,-0.007884674
77,78.0,0.7338216,0.68653136,0.061855357,-0.026930217,0.056085687,-0.007905831
78,79.0,0.7338216,0.68653136,0.062213577,-0.026826402,0.05643035,-0.007928674
79,80.0,0.7338216,0.68653136,0.06256394,-0.026726443,0.056769103,-0.007953092
80,81.0,0.7338216,0.68653136,0.06290669,-0.02663011,0.057102073,-0.007978977
81,82.0,0.7443073,0.68653136,0.06324206,-0.026537206,0.057429396,-0.00800622
82,83.0,0.7443073,0.68653136,0.06357027,-0.026447535,0.05775121,-0.008034724
83,84.0,0.7443073,0.68653136,0.063891545,-0.02636091,0.058067627,-0.008064395
84,85.0,0.7443073,0.68653136,0.064206086,-0.026277155,0.05837878,-0.008095143
85,86.0,0.7443073,0.68653136,0.0645141,-0.026196104,0.058684777,-0.008126883
86,87.0,0.7443073,0.68653136,0.064815775,-0.026117604,0.058985732,-0.008159531
87,88.0,0.7443073,0.68653136,0.06511129,-0.026041511,0.059281755,-0.008193014
88,89.0,0.7496406,0.6928218,0.06540082,-0.025967676,0.059572957,-0.008227256
89,90.0,0.7496406,0.6928218,0.06568454,-0.025895974,0.059859432,-0.008262189
90,91.0,0.7447059,0.6928218,0.065962605,-0.02582628,0.060141288,-0.008297744
91,92.0,0.7447059,0.6928218,0.06623517,-0.025758475,0.060418613,-0.008333866
92,93.0,0.7447059,0.6928218,0.06650241,-0.025692448,0.060691506,-0.008370488
93,94.0,0.7447059,0.6928218,0.06676443,-0.025628101,0.060960066,-0.0084075555
94,95.0,0.7447059,0.6876936,0.06702139,-0.025565322,0.06122436,-0.008445017
95,96.0,0.7447059,0.69372195,0.06727343,-0.025504034,0.061484504,-0.008482822
96,97.0,0.7447059,0.69372195,0.06752066,-0.02544414,0.061740566,-0.008520924
97,98.0,0.7447059,0.69372195,0.067763224,-0.025385555,0.061992615,-0.008559274
98,99.0,0.7447059,0.69372195,0.068001226,-0.025328208,0.06224075,-0.008597831
99,100.0,0.7447059,0.7048376,0.068234794,-0.025272017,0.06248503,-0.0086365575
