,copies,f1,f1_fid
0,100.0,0.78707063,0.7503968
1,100.0,0.78240794,0.7530469
2,100.0,0.7877226,0.7557749
3,100.0,0.7877226,0.7458645
4,100.0,0.7787692,0.73902696
5,100.0,0.77760285,0.72887266
6,100.0,0.776204,0.72517097
7,100.0,0.7789868,0.7213458
8,100.0,0.7789868,0.7216837
9,100.0,0.7696161,0.7157903
10,100.0,0.7660319,0.7138218
11,100.0,0.7713653,0.70220125
12,100.0,0.76766354,0.70743966
13,100.0,0.7623302,0.7102174
14,100.0,0.7638742,0.70293146
15,100.0,0.76507443,0.7063994
16,100.0,0.76507443,0.7121426
17,100.0,0.7681136,0.70701426
18,100.0,0.7709692,0.7044694
19,100.0,0.7709692,0.6954462
20,100.0,0.7672534,0.6954462
21,100.0,0.7625014,0.698592
22,100.0,0.75756675,0.698592
23,100.0,0.75756675,0.6874808
24,100.0,0.7607125,0.6845234
25,100.0,0.7636504,0.6845234
26,100.0,0.7636504,0.6806387
27,100.0,0.7636504,0.6766645
28,100.0,0.759793,0.67554224
29,100.0,0.759793,0.67554224
30,100.0,0.759793,0.67554224
31,100.0,0.759793,0.6714069
32,100.0,0.759793,0.66712123
33,100.0,0.759793,0.66712123
34,100.0,0.75580025,0.66712123
35,100.0,0.75166494,0.66712123
36,100.0,0.75166494,0.66712123
37,100.0,0.75166494,0.6739899
38,100.0,0.75166494,0.6695455
39,100.0,0.75166494,0.6649333
40,100.0,0.75166494,0.6649333
41,100.0,0.75166494,0.6589049
42,100.0,0.7473792,0.6589049
43,100.0,0.7473792,0.6589049
44,100.0,0.74225104,0.6589049
45,100.0,0.74225104,0.6541154
46,100.0,0.74225104,0.6606854
47,100.0,0.74225104,0.6606854
48,100.0,0.74225104,0.6606854
49,100.0,0.74225104,0.6606854
50,100.0,0.74225104,0.66697586
51,100.0,0.74225104,0.66697586
52,100.0,0.7378066,0.66697586
53,100.0,0.7378066,0.66697586
54,100.0,0.7378066,0.66697586
55,100.0,0.7378066,0.66697586
56,100.0,0.7378066,0.66697586
57,100.0,0.7378066,0.6606854
58,100.0,0.7378066,0.6606854
59,100.0,0.7339219,0.6541154
60,100.0,0.7339219,0.6541154
61,100.0,0.7339219,0.64724666
62,100.0,0.7339219,0.64724666
63,100.0,0.7339219,0.64724666
64,100.0,0.7339219,0.64724666
65,100.0,0.7285885,0.64724666
66,100.0,0.7285885,0.6422693
67,100.0,0.7285885,0.6422693
68,100.0,0.7230375,0.6422693
69,100.0,0.7230375,0.6422693
70,100.0,0.7230375,0.6422693
71,100.0,0.7230375,0.6422693
72,100.0,0.7230375,0.6422693
73,100.0,0.7230375,0.63971823
74,100.0,0.7230375,0.63971823
75,100.0,0.7230375,0.63971823
76,100.0,0.72797215,0.63971823
77,100.0,0.72797215,0.63971823
78,100.0,0.72797215,0.63971823
79,100.0,0.72797215,0.63971823
80,100.0,0.72218984,0.63971823
81,100.0,0.72218984,0.6355432
82,100.0,0.72218984,0.6355432
83,100.0,0.72218984,0.6355432
84,100.0,0.72218984,0.6415716
85,100.0,0.72218984,0.6415716
86,100.0,0.72218984,0.6415716
87,100.0,0.72218984,0.6415716
88,100.0,0.72218984,0.6415716
89,100.0,0.72218984,0.6415716
90,100.0,0.72218984,0.6415716
91,100.0,0.7175777,0.6415716
92,100.0,0.7175777,0.6415716
93,100.0,0.7175777,0.6415716
94,100.0,0.7175777,0.6415716
95,100.0,0.7175777,0.6415716
96,100.0,0.7175777,0.6415716
97,100.0,0.7175777,0.6415716
98,100.0,0.7175777,0.6415716
99,100.0,0.7175777,0.6415716
100,100.0,0.7175777,0.6415716
101,100.0,0.7175777,0.6415716
102,100.0,0.7135517,0.6415716
103,100.0,0.7135517,0.6415716
104,100.0,0.7135517,0.6415716
105,100.0,0.7135517,0.6415716
106,100.0,0.7183037,0.6415716
107,100.0,0.7183037,0.6415716
108,100.0,0.7183037,0.6415716
109,100.0,0.7183037,0.6457466
110,100.0,0.7183037,0.6457466
111,100.0,0.7183037,0.65261537
112,100.0,0.7183037,0.65261537
113,100.0,0.7183037,0.65261537
114,100.0,0.7183037,0.65261537
115,100.0,0.7183037,0.65261537
116,100.0,0.7183037,0.65261537
117,100.0,0.7183037,0.65261537
118,100.0,0.7183037,0.65261537
119,100.0,0.7183037,0.65261537
120,100.0,0.7183037,0.65261537
121,100.0,0.7183037,0.65261537
122,100.0,0.7183037,0.65261537
123,100.0,0.723637,0.65261537
124,100.0,0.723637,0.65261537
125,100.0,0.723637,0.65261537
126,100.0,0.723637,0.65261537
127,100.0,0.723637,0.65261537
128,100.0,0.723637,0.6583977
129,100.0,0.723637,0.6583977
130,100.0,0.723637,0.6639487
131,100.0,0.723637,0.6639487
132,100.0,0.723637,0.6639487
133,100.0,0.723637,0.6639487
134,100.0,0.723637,0.6639487
135,100.0,0.723637,0.6639487
136,100.0,0.723637,0.6639487
137,100.0,0.723637,0.6639487
138,100.0,0.723637,0.6639487
139,100.0,0.723637,0.6639487
140,100.0,0.723637,0.6639487
141,100.0,0.723637,0.6639487
142,100.0,0.723637,0.6639487
143,100.0,0.723637,0.6639487
144,100.0,0.723637,0.6639487
145,100.0,0.723637,0.6639487
146,100.0,0.723637,0.6639487
147,100.0,0.723637,0.6639487
148,100.0,0.723637,0.6639487
149,100.0,0.723637,0.6639487
150,100.0,0.723637,0.6639487
151,100.0,0.723637,0.6639487
152,100.0,0.723637,0.6639487
153,100.0,0.723637,0.6639487
154,100.0,0.723637,0.6639487
155,100.0,0.723637,0.6639487
156,100.0,0.723637,0.6639487
157,100.0,0.723637,0.6639487
158,100.0,0.723637,0.6639487
159,100.0,0.723637,0.6639487
160,100.0,0.723637,0.6639487
161,100.0,0.723637,0.67606974
162,100.0,0.723637,0.67606974
163,100.0,0.723637,0.67606974
164,100.0,0.723637,0.67606974
165,100.0,0.723637,0.67606974
166,100.0,0.723637,0.68140304
167,100.0,0.723637,0.68140304
168,100.0,0.723637,0.68140304
169,100.0,0.723637,0.68140304
170,100.0,0.723637,0.68140304
171,100.0,0.723637,0.68140304
172,100.0,0.723637,0.68140304
173,100.0,0.723637,0.68140304
174,100.0,0.723637,0.68140304
175,100.0,0.723637,0.68140304
176,100.0,0.723637,0.68140304
177,100.0,0.723637,0.68140304
178,100.0,0.723637,0.68140304
179,100.0,0.723637,0.68140304
180,100.0,0.723637,0.67606974
181,100.0,0.7188851,0.67606974
182,100.0,0.7188851,0.67606974
183,100.0,0.7188851,0.67606974
