,Unnamed: 0,copies,f1,f1_fid,score_p,score_n,score_fidp,score_fidn
0,0,1.0,0.8458334,0.8175472,0.091172315,-0.08820734,0.011347072,-0.0073631755
1,1,2.0,0.8458334,0.8175472,0.12807778,-0.122992,0.022385793,-0.014480358
2,2,3.0,0.8458334,0.8258231,0.1558254,-0.14853822,0.033126645,-0.021360857
3,3,4.0,0.8458334,0.8258231,0.17875136,-0.16915359,0.043579716,-0.028013596
4,4,5.0,0.8458334,0.83493984,0.1985494,-0.1865379,0.05375468,-0.034447115
5,5,6.0,0.8458334,0.83493984,0.21609545,-0.20157902,0.06366084,-0.040669627
6,6,7.0,0.8458334,0.83493984,0.23191424,-0.21481392,0.07330714,-0.04668898
7,7,8.0,0.8458334,0.83493984,0.2463505,-0.22659881,0.08270218,-0.052512717
8,8,9.0,0.8458334,0.83493984,0.2596457,-0.23718543,0.09185423,-0.058148075
9,9,10.0,0.8458334,0.83493984,0.27197716,-0.24676022,0.10077123,-0.06360196
10,10,11.0,0.8458334,0.83493984,0.28347984,-0.2554663,0.10946083,-0.06888106
11,11,12.0,0.8458334,0.83493984,0.2942595,-0.26341665,0.1179304,-0.07399173
12,12,13.0,0.8458334,0.83493984,0.30440083,-0.2707024,0.126187,-0.07894011
13,13,14.0,0.8458334,0.83493984,0.3139732,-0.27739853,0.1342374,-0.083732046
14,14,15.0,0.8458334,0.83493984,0.32303408,-0.28356782,0.1420882,-0.0883732
15,15,16.0,0.8458334,0.83493984,0.33163202,-0.2892632,0.1497457,-0.09286896
16,16,17.0,0.8458334,0.83493984,0.3398083,-0.29453012,0.15721595,-0.09722455
17,17,18.0,0.8458334,0.83493984,0.3475985,-0.29940784,0.16450483,-0.10144494
18,18,19.0,0.8458334,0.83493984,0.35503355,-0.3039306,0.17161793,-0.10553491
19,19,20.0,0.8458334,0.83493984,0.3621405,-0.30812842,0.17856066,-0.109499075
20,20,21.0,0.8458334,0.83493984,0.3689433,-0.31202796,0.1853383,-0.11334183
21,21,22.0,0.8458334,0.83493984,0.3754632,-0.31565276,0.19195582,-0.117067434
22,22,23.0,0.8458334,0.84340554,0.381719,-0.319024,0.1984181,-0.12067995
23,23,24.0,0.8458334,0.84340554,0.38772786,-0.32216054,0.20472977,-0.1241833
24,24,25.0,0.8458334,0.84340554,0.39350516,-0.32507965,0.21089539,-0.12758125
25,25,26.0,0.8458334,0.84340554,0.3990647,-0.32779664,0.2169193,-0.13087739
26,26,27.0,0.8458334,0.84340554,0.40441912,-0.3303257,0.22280562,-0.13407521
27,27,28.0,0.8458334,0.84340554,0.40958014,-0.33267957,0.22855845,-0.13717806
28,28,29.0,0.8458334,0.84340554,0.4145581,-0.33486995,0.23418164,-0.14018914
29,29,30.0,0.8458334,0.84340554,0.41936293,-0.33690763,0.23967898,-0.14311153
30,30,31.0,0.8458334,0.84340554,0.42400345,-0.3388024,0.24505405,-0.1459482
31,31,32.0,0.8458334,0.84340554,0.42848796,-0.34056336,0.25031042,-0.14870203
32,32,33.0,0.8458334,0.84340554,0.43282422,-0.3421988,0.25545144,-0.15137573
33,33,34.0,0.8458334,0.84340554,0.4370192,-0.34371656,0.26048028,-0.15397194
34,34,35.0,0.8458334,0.84340554,0.44107956,-0.3451237,0.2654002,-0.15649326
35,35,36.0,0.8458334,0.851342,0.44501153,-0.34642696,0.27021417,-0.15894207
36,36,37.0,0.8458334,0.851342,0.44882074,-0.34763235,0.27492517,-0.16132076
37,37,38.0,0.8458334,0.851342,0.45251268,-0.3487457,0.279536,-0.16363156
38,38,39.0,0.8458334,0.851342,0.45609236,-0.3497723,0.28404942,-0.16587672
39,39,40.0,0.8458334,0.851342,0.4595646,-0.35071713,0.28846806,-0.16805828
40,40,41.0,0.8458334,0.851342,0.46293372,-0.35158485,0.29279453,-0.17017828
41,41,42.0,0.8458334,0.851342,0.466204,-0.3523798,0.29703122,-0.17223866
42,42,43.0,0.8458334,0.851342,0.46937934,-0.353106,0.3011806,-0.17424133
43,43,44.0,0.8458334,0.851342,0.47246352,-0.3537673,0.30524492,-0.17618805
44,44,45.0,0.8458334,0.851342,0.47545996,-0.3543672,0.30922645,-0.17808062
45,45,46.0,0.8458334,0.851342,0.4783721,-0.35490912,0.31312734,-0.17992064
46,46,47.0,0.8458334,0.851342,0.48120314,-0.35539612,0.3169497,-0.18170983
47,47,48.0,0.8458334,0.851342,0.48395586,-0.3558312,0.32069555,-0.18344966
48,48,49.0,0.8458334,0.851342,0.4866334,-0.3562171,0.3243668,-0.18514167
49,49,50.0,0.8458334,0.851342,0.48923817,-0.35655642,0.32796544,-0.18678732
50,50,51.0,0.8458334,0.851342,0.49177295,-0.35685167,0.3314932,-0.18838799
51,51,52.0,0.8458334,0.851342,0.49424005,-0.35710517,0.334952,-0.18994501
52,52,53.0,0.8458334,0.851342,0.49664178,-0.35731903,0.33834344,-0.19145975
